iter	Passed	Remaining
0	139	139040
1	139	69855
2	140	46799
3	141	35271
4	142	28364
5	143	23753
6	144	20457
7	145	17993
8	145	16067
9	146	14533
10	147	13283
11	148	12243
12	149	11358
13	150	10633
14	152	9982
15	152	9404
16	153	8895
17	154	8445
18	155	8043
19	156	7675
20	157	7343
21	158	7037
22	159	6765
23	160	6510
24	160	6275
25	161	6061
26	162	5865
27	163	5679
28	164	5508
29	165	5346
30	166	5201
31	167	5061
32	168	4929
33	169	4805
34	170	4688
35	170	4576
36	171	4473
37	172	4374
38	173	4279
39	174	4188
40	175	4101
41	176	4021
42	177	3943
43	178	3869
44	178	3798
45	179	3732
46	180	3666
47	181	3604
48	182	3544
49	183	3488
50	184	3434
51	185	3382
52	186	3331
53	187	3281
54	188	3233
55	189	3187
56	190	3144
57	190	3100
58	191	3059
59	192	3020
60	193	2981
61	194	2944
62	195	2907
63	196	2871
64	197	2836
65	198	2803
66	199	2771
67	199	2734
68	200	2703
69	201	2674
70	202	2645
71	203	2617
72	203	2589
73	204	2563
74	205	2537
75	206	2512
76	207	2487
77	208	2464
78	209	2442
79	210	2418
80	211	2395
81	211	2373
82	212	2351
83	213	2330
84	214	2306
85	215	2286
86	215	2265
87	216	2246
88	217	2227
89	218	2209
90	219	2192
91	220	2174
92	221	2160
93	222	2144
94	223	2128
95	224	2111
96	225	2096
97	225	2079
98	226	2064
99	227	2049
100	228	2034
101	229	2016
102	229	2002
103	230	1987
104	231	1973
105	232	1960
106	233	1946
107	234	1934
108	235	1921
109	236	1909
110	236	1897
111	237	1885
112	238	1874
113	239	1863
114	240	1851
115	241	1839
116	242	1828
117	243	1818
118	243	1806
119	244	1796
120	245	1785
121	246	1774
122	247	1762
123	248	1752
124	249	1743
125	249	1733
126	250	1724
127	251	1713
128	252	1704
129	253	1695
130	254	1687
131	255	1678
132	256	1669
133	257	1661
134	257	1653
135	258	1644
136	259	1636
137	260	1627
138	261	1620
139	262	1612
140	263	1604
141	264	1596
142	265	1589
143	266	1581
144	266	1573
145	267	1566
146	268	1559
147	269	1552
148	270	1546
149	271	1539
150	272	1532
151	273	1525
152	274	1518
153	275	1512
154	276	1505
155	277	1499
156	278	1492
157	278	1486
158	279	1480
159	280	1474
160	281	1467
161	282	1461
162	283	1455
163	284	1449
164	285	1442
165	286	1436
166	286	1431
167	287	1425
168	288	1419
169	289	1414
170	290	1408
171	291	1403
172	292	1398
173	293	1392
174	294	1387
175	295	1382
176	296	1377
177	297	1372
178	298	1367
179	299	1362
180	299	1356
181	300	1351
182	301	1347
183	302	1342
184	303	1337
185	304	1333
186	305	1328
187	306	1323
188	307	1318
189	308	1313
190	309	1309
191	310	1304
192	311	1300
193	311	1296
194	312	1291
195	313	1287
196	314	1282
197	315	1278
198	316	1274
199	317	1270
200	318	1265
201	319	1261
202	320	1257
203	321	1253
204	322	1249
205	323	1245
206	324	1242
207	325	1240
208	326	1236
209	327	1232
210	328	1229
211	329	1225
212	330	1221
213	331	1218
214	332	1214
215	333	1210
216	334	1207
217	335	1203
218	336	1199
219	337	1195
220	338	1191
221	338	1188
222	339	1184
223	340	1181
224	341	1177
225	342	1173
226	343	1170
227	344	1166
228	345	1162
229	346	1159
230	347	1156
231	348	1152
232	349	1149
233	350	1146
234	351	1142
235	352	1139
236	352	1136
237	353	1132
238	354	1129
239	355	1126
240	356	1122
241	357	1119
242	358	1116
243	359	1113
244	360	1110
245	361	1107
246	362	1104
247	363	1101
248	363	1097
249	364	1094
250	365	1091
